"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
مروكي,1302,58,8069.55,28,"دهن العود",1,"متوفر في المخزون",421
"دقة كلمنتان مالينو",232,21,5326.08,17,"خشب العود",2,"متوفر في المخزون",99
"مروكي حي",208,20,7278.27,17,"خشب العود",2,"متوفر في المخزون",1428
براشين,1006,19,2147.78,15,"دهن العود",1,"متوفر في المخزون",1023
ترات,1101,14,1765.26,14,"دهن العود",1,"متوفر في المخزون",443
"مروكي ميني سوبر وأقل",3117,13,5843.5,9,"خشب العود",2,"متوفر في المخزون",3600
"هندي -H",1504,12,1695.61,10,"دهن العود",1,"متوفر في المخزون",428
تجربة,,12,0,12,"قسم الإكسسوارات",2,"متوفر في المخزون",40
"هندي آسامي",1505.,8,939.12,6,"دهن العود",1,"متوفر في المخزون",452
"هندي سوبر وأقل",5119,8,3278.26,7,"خشب العود",2,"متوفر في المخزون",149
كوياي,1201.,8,973.92,7,"دهن العود",1,"متوفر في المخزون",466
"مروكي ميني دقة فاخر",3150,7,4773.9,6,"خشب العود",2,"متوفر في المخزون",15885
"لاوسي فاخر",1804,6,1252.2,6,"دهن العود",1,"متوفر في المخزون",573
"مروكي قديم مصبوغ ميني",3136,5,2000,5,"خشب العود",2,"متوفر في المخزون",149
"مروكي دقة سوبر وأقل",3158,5,2582.6,5,"خشب العود",2,"غير متوفر في المخزون",0
"براشين الخاص",1001,5,1000,5,"دهن العود",1,"متوفر في المخزون",95
"هندي دقة فاخر",5121,5,3621.73,4,"خشب العود",2,"متوفر في المخزون",1348
"جنوب تايلند",1604,5,739.13,2,"دهن العود",1,"متوفر في المخزون",456
"مروكي ميني دبل سوبر 2",3124,4,3586.95,4,"خشب العود",2,"متوفر في المخزون",1249
"دقه وقشور بورمي",2009,4,1773.9,4,"خشب العود",2,"متوفر في المخزون",2150
"مروكي قديم مصبوغ مرتفع",3134,4,3339.12,4,"خشب العود",2,"متوفر في المخزون",500
"مالينو قديم سوبر",4106,3,3130.44,2,"خشب العود",2,"متوفر في المخزون",6080
"مروكي قديم سوبر مرتفع",3129,3,3104.35,2,"خشب العود",2,"متوفر في المخزون",6762
"ترات فاخر",1102,3,600,3,"دهن العود",1,"متوفر في المخزون",461
"هندي ميني دبل سوبر",5101,3,3673.92,3,"خشب العود",2,"متوفر في المخزون",2150
"مالينو دقة سوبر وأقل",4111,2,826.08,2,"خشب العود",2,"غير متوفر في المخزون",0
فيتنامي,1701,2,365.22,2,"دهن العود",1,"متوفر في المخزون",766
"دهن عود ترات بالحطب",1105,2,5000,2,"قسم الجملة",3,"متوفر في المخزون",431
"مالينو قديم أقل من سوبر",4107,2,1219.56,2,"خشب العود",2,"متوفر في المخزون",1999
"مالينو قديم سوبر مرتفع",4105,2,1843.48,2,"خشب العود",2,"متوفر في المخزون",3625
"مالينو قديم دقة سوبر",4110,2,2434.78,2,"خشب العود",2,"متوفر في المخزون",350
"مروكي دبل وتريبل",3101,2,4782.6,2,"خشب العود",2,"غير متوفر في المخزون",0
"مروكي قديم دبل سوبر",3130,1,947.83,1,"خشب العود",2,"متوفر في المخزون",4250
"دهن عود هندي آسامي",1505,1,4173.91,1,"قسم الجملة",3,"متوفر في المخزون",871
"مالينو قديم دبل",4104,1,3086.96,1,"خشب العود",2,"متوفر في المخزون",5270
"مروكي ميني سوبر نظيف",3152,1,4086.96,1,"قسم الجملة",1,"غير متوفر في المخزون",0
"مروكي قديم سوبر وأقل",3128,1,295.65,1,"خشب العود",2,"متوفر في المخزون",3850
"دهن عود براشين",1006.,1,1608.7,1,"قسم الجملة",3,"متوفر في المخزون",60
